AQA Spec ref.,Unit,Topic,Number of Questions,GCSE Book Page number,Number of Hexagons,Link,What type of question will the student face,What will the student achieve by completing this board,What skills will the student need to know to successfully complete each board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Work Done and Power,10, 101,2 ,https://isaacphysics.org/s/X1T846,Hexagon 33.1 pure drill formulae practice. Hexagon 33.2 requires students to comprehend a written question.,Students to develop confidence using and rearranging the work done and power equations. As well as application of these formulae to a worded problem.,Students will be need to be able to convert between units e.g. cmàm as well as rearrange both work done and power formulae.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,"Work Done, GPE, Power (challenging)",10, 102-103,6 ,https://isaacphysics.org/s/MJoeZC,Each hexagon is a worded problem.,"Students will be able to do GPE, Work Done, and Power calculations confidently. ","Rearrangement, conversion between mass and prefixes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,GPE and Kinetic Energy,10,105 , 5,https://isaacphysics.org/s/LuKmkA,Simple worded problems,Students will link GPE and Kinetic Energy and understand how changing a variable will affect another.,"Rearrangement of formula, proportionality, conversion of units.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Kinetic Energy (Challenging),3,106 , 3,https://isaacphysics.org/s/FN8QJg,"More lengthy worded problems, as well as using more than one step to solve problems. ","Although stated in the question, students will develop their approach with using more than one equation to solve a problem – which is often the 4-6-mark question.  ","Understanding of prefixes and the kinetic energy formula, ability to express answers as percentages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Efficiency Calculations,11,108 ,4 ,https://isaacphysics.org/s/8hnjes,2 worded problems (Hexagon 35.1 and 35.2) and 8 drill practice questions (Hexagon 35.4). ,"Improve their ability at rearranging the efficiency formula. Also, using more than one formula to solve problems.","Knowledge of work done formulae, basic ability to rearrange formulae.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Efficiency Calculations (Challenging),9, 108-109, 4,https://isaacphysics.org/s/Ky5ZXq,Worded questions are phrased in a way that may challenge most students to understand how to go about solving the problem. ,Students will increase their ability to comprehend exam style questions. ,"Conversion of percentages back into decimals, conversion of units and basic use of efficiency calculation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Power and Energy in the Human Body (Challenging),10, 111-112, 4,https://isaacphysics.org/s/v8FTYU,Worded problems that are structured in the beginning but do rise in difficulty. ,"Students will develop their ability to pick out key information and use multiples of basic energy e.g. if 1 brick requires 10J of work, calculate total work to move 100 bricks.","Use of work done, power formula. Rearrangement and substitution of both.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Elastic Potential Energy ,10, 113-113,2 ,https://isaacphysics.org/board/e2f00cfe-1b6a-4cd8-8bae-61813737007f, Straightforward worded problems. ,Improve confidence and ability when calculating the energy stored in an elastic system.,"Conversion between cm & mmàm, Rearrangement of elastic potential energy formula.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Charge and Current,11,67 - 68 , 3,https://isaacphysics.org/s/u82Ssw,Hexagon 22.4 is a straightforward drill practice table to complete. Hexagon 22.6 and 22.5 are worded questions. ,Using Q = It and improving students understanding of the term charge flow.,"Conversion between time (minutes à seconds), ability to understand standard form, as well as rearrangement of Q=It.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Charge and Current (Application Questions),7, 68 , 7,https://isaacphysics.org/s/UE1Xhm,Worded exam style questions. (22.16 and 22.17 are online only),"Using Q = It, applied in a variety of scenarios.","Conversion between time (minutes à seconds), ability to understand standard form, as well as rearrangement of Q=It.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Voltage and Current in series and parallel,9,70 - 71 ,5 ,https://isaacphysics.org/s/t2w8JD,Each hexagon corresponds to a circuit diagram. Students are required to input an value. ,Most students will be challenged by circuit diagrams and often get confused about the circuit rules. This board will certainly consolidate and assess their understanding.,Understanding of current/voltage circuit rules in series and parallel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Voltage and Current in series and parallel (Hard),3,72 ,3 ,https://isaacphysics.org/board/a9f780cf-ff0f-409f-9eaa-b26d17e76772 ,Each hexagon is represented by a circuit diagram. Students are required to input an value. ,"More complex circuit diagrams, extending and deepening student understanding of circuit rules.",Understanding of current/voltage circuit rules in series and parallel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Resistance V=IR,11, 73 - 74, 6,https://isaacphysics.org/s/ravyRZ,Hexagon 24.1 is a straightforward drill style question. Hexagons 24.2 to 24.6 are worded style exam questions.,Improve use of the basic V=IR formula as well as extension when there are non-identical components in a circuit. Often this is above most GCSE Exam boards. ,"Lots of prefix use, rearrangement of V=IR, and  knowledge of circuit rules in a series and parallel circuit. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Characteristics and Graphs,7,77 - 78 , 5,https://isaacphysics.org/s/L7mHN9,"Each hexagon requires students to read and interpret graphs.
 ","Often an area students struggle with, interpreting graphs. Students will improve their ability to recall I-V graphs as well as ability to calculate gradients and interpret graphs.","Ohmic conductors, knowledge of I-V graphs and ability to calculate R from these graphs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Power Formula Practice,24,79 - 80 , 2,https://isaacphysics.org/s/DYBWjU,Both hexagons are straightforward drill style questions.  ,Use of both formula P=IV and P=W/t. Students will develop the link between both formulae and appreciate when to use which one.,"Understanding of P=W/t and P=IV. Ability to rearrange both, a range of prefixes, convert between units (time), and standard form.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Power Calculations (Application),11, 81, 7,https://isaacphysics.org/s/HfRkjU,Simple worded style exam questions. ,Application of P=IV and P=W/t formula to worded problems.,Rearrangement of both formulae as well as ability to convert between units (time); knowledge of Q=It.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Power and Resistance (Multi Step Approach),18,83 ,1 ,https://isaacphysics.org/s/Q1YYM7,Straightforward drill practice. ,Practice using P=IV and V=IR.,"Students will need to be able to rearrange both formulae, as well as understand prefixes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Power Wasted Multistep Approach,7,83 - 84 ,5 ,https://isaacphysics.org/s/3agPWL,Worded style exam questions that vary in length.,"Applying V=IR and often require many steps to complete the board, although the questions are broken down into parts a, b, c etc.",Rearrangement of V=IR and P=IV. Knowledge and understanding of prefixes. Specialist terms such as voltage dropped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Power Wasted Multistep Approach (hard),5,84 ,3 ,https://isaacphysics.org/s/k8JqyM,Worded exam questions. Hexagon 27.8 and 27.9 are fairly simple to read. Hexagon 27.10 is a longer written question.,All questions require students to calculate another variable before finding the final answer.,High comprehension skills and ability to pick out key information. Confidence applying V=IR and P=IV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,Particle Model,Boyle's Law,10, 173 - 174, 4,https://isaacphysics.org/s/MaH7M6,"Hexagon 59.1 is a unit conversion, Hexagon 59.2 is a large worded question and 59.3 is a simple order the statements question. ","Often overlooked by students, unit conversion will be developed. Hexagon 59.3 has been a 4 mark question before in exams, although students could simply guess this does assess their understanding of why gas exerts pressure on surfaces.",Knowledge and qualitative understanding of pressure and Boyle’s Law (including some unit conversions).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,Particle Model,Specific Heat Capacity (formula practice) (Same as P1),12,92 ,1 ,https://isaacphysics.org/s/mg433N,Pure drill practice questions. ,Develop the students’ ability and confidence at using the Thermal Energy Transfer equation (often referred to as the Specific Heat Capacity formula). Also will develop ability to convert between units and standard form.,Students will need to be able to rearrange an equation and convert between grams/kilograms as well as joules/kilojoules.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,Particle Model,Specific Heat Capacity (hard) (Same as P1),10, 92-94,8,https://isaacphysics.org/s/aJhgfN,10 worded problem questions that require the students to apply their ability of using the equation.,All the questions are more exam style questions. The aim is to develop the students’ ability to extract information from the question and apply the formula correctly. Questions will also require students to find the change in temperature.,"Students will need to be able to rearrange the formula as well as density and power formula. Also, students will need to apply a multi formula approach.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3,Particle Model,Latent Heat,10,96 - 97 ,5 ,https://isaacphysics.org/s/zBeRZJ,Hexagon 31.1 is a straightforward drill practice of Q=mL. Hexagons 31.2-9 are exam style word questions. ,Practice and use of Q=mL formula as well as application to a range of scenarios. Use of multi formula approach is also required. Hexagon 31.9 should stretch most students.,"Ability to use, rearrange Q=mL and E=Pt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,Atomic Structure,"Number of Proton, Neutrons, Electrons",19, 155 ,3 ,https://isaacphysics.org/s/QFHQeo,Very simple drill questions accessible to foundation tier students. ,Assess understanding of basic atomic structure.,"Understanding of chemical symbol, proton number and atomic mass number, isotopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,Atomic Structure,Nuclear Equations,5,157 , 5,https://isaacphysics.org/s/DtPMce,Very simple drill questions or accessible to foundation tier students. ,Ensure students are comfortable with writing nuclear equations. Students are told whether it is alpha or beta decay. ,Knowledge of writing nuclear equations and the different types of decay. NB beta+ is required; although not in any GCSE specs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,Atomic Structure,Half Life,6, 158 - 159, 3,https://isaacphysics.org/s/rQrQJF,"Simple worded style questions that require students to calculate half life, activity and number of nuclei remaining.",Will stretch most students' understanding of calculating half life as well as going beyond most specifications when requiring to calculate number of nuclei remaining in a sample. ,Half life definition and half life formula.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,Atomic Structure,Fission the Process ,5,164 , 5,https://isaacphysics.org/s/8zWSCt,All hexagons are multiple choice style question. Often required to either pick the correct statement or place them in order.,Qualitatively developing knowledge of nuclear fission. ,Basic knowledge of the fission process and a nuclear reactor. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Spring Constant,10,113,2 ,https://isaacphysics.org/board/e365da94-1a47-4860-9f4b-ae218e567a02,Straightforward exam based questions. Most students should be able to access the material,Students will improve their application and rearrangement of the sping constant formula.,"Application and rearrangement of the spring constant formula, unit conversion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Spring Constant and Elastic Potential Energy (Challenging),6,114 - 115 , 5,https://isaacphysics.org/board/d28494f8-4dd2-4604-b6f3-796137856827,Straightforward exam based questions. Most students should be able to access the material,"The nature of some of these questions will test students' understanding of the topic and their ability to apply the spring constant and elastic potential energy formulae.  Whilst not on most specifications, springs in parallel will challenge all students. ",Application and rearrangement of the spring constant and elastic potential energy formulae.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Displacement and Distance,10, 23 - 24,5 ,https://isaacphysics.org/board/0d640672-cf15-4e22-99b7-151f17d410ae ,Hexagon 9.1-9.2 are simple worded style questions. Hexagon 9.3-9.5 are very wordy questions or complex scenarios for the students.,Students will be challenged deeply on their understanding of displacement and distance. They will also be tested on their ability to draw out their problems; a very handy skill to have.,"Good understanding of distance vs displacement, Pythagoras theory or ability to construct scale vector diagrams and trigonometry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Resultant Forces,15,34 - 36 ,1,https://isaacphysics.org/s/NaDvoy,State a numerical answer from a diagram.,Fundamental practice of understanding resultant force diagrams.,Basic understanding of resultant force and force diagrams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,F=ma (worded),10,Only Online , 6,https://isaacphysics.org/s/4M9RL7,Mix of simple worded calculations and interpreting diagrams.,Students will enhance their ability to interpret and understand force diagrams as well as using F=ma equation.,"Understanding of force diagrams, prefixes, F=ma formula and ability to rearrange equations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,F=ma (Challenging),13,36 - 37 ,5 ,https://isaacphysics.org/s/W966Bn,Simple worded questions. Hexagon 13.10 is a more in-depth worded question with larger numbers.,"Applying the F=ma formula to exam style questions, as well as developing confidence using large numbers.","Ability to use and rearrange F=ma, resultant forces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Distance and Speed Formula Practice,15, 20 - 21, 2,https://isaacphysics.org/s/8iDUXy,Pure drill practice style questions. ,"Develop confidence using the speed, distance, time formula.","Basic grasp of the speed-distance, time formula, ability to convert units (time and distance).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Speed Distance Problems (Challenging),5, 21, 5,https://isaacphysics.org/s/Hy8gH1,A range of worded exam style questions. ,"Applying the speed, distance time formula to exam style questions.","Speed, distance time formula, ability to convert units (time and distance).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Displacement Time Graphs,14, 25 - 26,3,https://isaacphysics.org/board/a6534ea9-a717-4bd3-97ec-0f42df7c1bb2 ,Simple worded style questions for interpreting graphs.,"An opportunity to develop an area students struggle with, interpreting s-t and v-t graphs. Develop confidence calculating the gradient. ","Calculating gradients (positive and negative), interpreting v-t graphs, s-t graphs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Velocity Time Graphs,21, 31 - 33,3 ,https://isaacphysics.org/s/7Y4ykS,Simple worded questions to calculate area under and gradients from graphs. ,"From fairly routine v-t graphs to more complex graphs,  including positive and negative displacements and accelerations, as well as graphs with minimal information.","Ability to calculate the area under a graph, v-t graphs, calculate the gradient of graphs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Acceleration  a=?v/t Practice,16,28 ,1 ,https://isaacphysics.org/s/xWxev8,Pure drill style questions. ,"Lots of practice using the equation a=?v/t, as well as confidence rearranging this equation.","Students will need to know a=?v/t, ability to rearrange equations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Acceleration ?v/t worded problems,11,28 - 29,6,https://isaacphysics.org/s/zNimkR,Hexagons 11.2 – 11.6 are worded style questions. Hexagon 11.7 is a drill style practice of a=?v/t  ,The context may prove challenging for students to understand and thus develop their ability to comprehend such scenarios. Along with enhancing their ability to construct free body diagrams and deal with concepts such as negative acceleration.,"Ability to construct free body diagrams, a=?v/t , displacement, negative and positive values.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Terminal Velocity Understanding,12,38 - 39,5,https://isaacphysics.org/s/cVr3qu,Pretty well scaffolded worded problems. Will act as a confidence builder for most students.,This board will assess students' depth of understanding of forces and Newton’s Second Law. The scenarios appear relatively straightforward but students will require a good ability at visualising the problems or ideally constructing a free body diagram. Qualitative and quantitative understanding of terminal velocity will be developed.,"Understanding of terminal velocity, Newton’s  Laws (1st and 2nd), W=mg, and resultant forces. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Terminal Velocity Math Problem,6,40,2,https://isaacphysics.org/s/ebL8LB,More challenging worded style problems.,"Stretching pupils' mathematical ability when applied to terminal velocity. Outside of the development of understanding of terminal velocity, the problems are worded in a more challenging way e.g “the resistive force is proportional to the square of the speed”. This subtle change will stretch almost all students.","Understanding of specialist terms, ability to apply and rearrange F=ma, understanding of proportional and factors, percentages, deriving equations. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Stopping Distances ,12,42 - 43,5,https://isaacphysics.org/s/AC8x95,Simple worded style questions on braking distances.,Students will improve their understanding of stopping distance in a wider range of scenarios and difficulty than often faced on most exam boards. Applying a range of thinking/braking distances (all given in each question) often proves difficult for students.,Knowledge and understanding of what makes up stopping distances. Converting units (mph à m/s).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Momentum Formula Practice,13,55 - 56,2,https://isaacphysics.org/s/aeHuY9,Hexagon 19.1 is a pure drill style question. Hexagon 19.2 are simple worded calculate problems.,Students will develop confidence using the basic momentum formula as well as develop their understanding of conservation of momentum. Hexagon 19.2 is a more challenging problem and will stretch most higher tier students. ,"Ability to use and rearrange momentum formula, good understanding of conservation of momentum and ability to rearrange this equation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Momentum before and after formula practice,20,56,1,https://isaacphysics.org/s/iz76ih,Pure drill practice using the concept of Pafter-Pbefore=Ft.,Although basic in style of demand (filling in a table) this should challenge most students understanding of Pafter-Pbefore=Ft,Understanding of Pafter-Pbefore=Ft and ability to rearrange this. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Momentum (Challenging),9,57,6,https://isaacphysics.org/board/cdc2449b-2301-469d-96a2-a3920f2350f4,Worded exam style questions on momentum. ,"A range of questions assessing and developing students ability at using momentum, change in momentum, impulse. A good board to assess a full understanding of momentum topic.","Ability to apply and rearrange the following formulae: momentum, impulse, Pafter-Pbefore=Ft. Convert between units (mass, speed), ratios and expressing answers as a ratio. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
