"File created on Wednesday, 3rd May 2017.",,,,,,,,,,,,,,,,,,,,,
Question Name,URL:,Replaced?,Book Name,"University Preparation? (FastTrack)",Subject,Level,Field,Topic,Lesson,Pre-made Board,Number of Parts,Contains Show/Hide Q?,Contains Multi Choice Q?,Contains Numeric Q?,Contains Symbolic Q?,Has Hints?,Has Video?,Has Diagram?,Related Concepts,Related Questions,Notes
Conductivity,https://isaacphysics.org/questions/conductivity,,,N,Physics,1,Circuits,General Circuits,,,2,N,Y,N,N,Y,N,N,Resistivity,,
Lighting a Lamp,https://isaacphysics.org/questions/lighting_a_lamp,,,N,Physics,1,Circuits,General Circuits,,,2,N,Y,Y,N,Y,N,N,"Alternating Current, Electric Current, Bulbs, Ohm's Law",SHM of a Simple Scale,
Making Bulbs Brighter,https://isaacphysics.org/questions/making_bulbs_brighter,,,N,Physics,1,Circuits,General Circuits,,,3,N,Y,Y,N,Y,N,N,"Electrical Cell, Resistors, Ohm's Law, Electric Power",Launching a Rocket,
Motor Efficiency,https://isaacphysics.org/questions/motor_efficiency,,,N,Physics,1,Circuits,General Circuits,,,1,N,N,Y,N,Y,Y,N,"Potential Energy, Power","A Damped Pendulum, Cycling through Wind",
Saving Money,https://isaacphysics.org/questions/saving_money,,,N,Physics,1,Circuits,General Circuits,,,3,N,N,Y,N,Y,N,N,Power,,
Switching Switches,https://isaacphysics.org/questions/switching_switches,,,N,Physics,1,Circuits,General Circuits,,,1,N,Y,N,N,Y,N,N,Electrical Components,,
Two Transformers,https://isaacphysics.org/questions/two_transformers,,,N,Physics,1,Circuits,General Circuits,,,1,N,N,Y,N,Y,Y,Y,Transformer,,
Which Fuse to Use,https://isaacphysics.org/questions/which_fuse_to_use,,,N,Physics,1,Circuits,General Circuits,,,2,N,Y,Y,N,Y,N,N,"Electrical Components, Electric Power",,
A Diode Divider,https://isaacphysics.org/questions/a_diode_divider,,,N,Physics,2,Circuits,General Circuits,,,1,N,N,Y,N,Y,Y,N,"Diodes, Ohm's Law",,
A Fuse Problem,https://isaacphysics.org/questions/a_fuse_problem,,,N,Physics,2,Circuits,General Circuits,,,1,N,N,Y,N,Y,Y,Y,"Electrical Components, Ohm's Law","Collecting Ions, Corkscrewing Particle, Deflecting Ions, Helical Pitch, Identifying Ions, Inkjet Printing, Semicircular Paths",
Conveying Current,https://isaacphysics.org/questions/conveying_current,,,N,Physics,2,Circuits,General Circuits,,,2,N,N,Y,N,Y,Y,N,Electric Current,"Between Two Masses, The Cavendish Experiment, Two Orbiting Masses",
Diode Truth Tables,https://isaacphysics.org/questions/diode_truth_tables,,,N,Physics,2,Circuits,General Circuits,,,1,N,Y,N,N,Y,Y,N,Diodes,"Air Sandwich, Optical Path Difference, Polarising View, Polaroid",
Internal Resistance in Series,https://isaacphysics.org/questions/internal_resistance_in_series,,,N,Physics,2,Circuits,General Circuits,,,1,N,N,Y,N,Y,Y,Y,"Electrical Cell, Voltmeter, Ohm's Law","A Fuse Problem, A Power Problem, Batteries and Resistors in Parallel, Power in Resistors, Power of a Light Bulb",
Interpreting Oscilloscopes,https://isaacphysics.org/questions/interpreting_oscilloscopes,,,N,Physics,2,Circuits,General Circuits,,,1,N,Y,N,N,Y,N,N,Alternating Current,,
Melting a Snowman,https://isaacphysics.org/questions/melting_a_snowman,,,N,Physics,2,Circuits,General Circuits,,,3,N,N,Y,N,Y,Y,N,"Diodes, Enthalpy of Phase Transitions, Electric Power, Kirchhoff's Current Law",,
Metal Squares,https://isaacphysics.org/questions/metal_squares,,,N,Physics,2,Circuits,General Circuits,,,3,N,Y,Y,N,Y,Y,N,"Microscopic view of current, Resistivity",,
Resistor for LED Circuit,https://isaacphysics.org/questions/resistor_for_led_cct,,,N,Physics,2,Circuits,General Circuits,,,2,N,N,Y,N,Y,Y,Y,"Electrical Cell, Diodes, Kirchhoff's Laws, Ohm's Law, Power",,
Vital Voltmeters,https://isaacphysics.org/questions/vital_voltmeters,,,N,Physics,2,Circuits,General Circuits,,,3,N,Y,Y,N,Y,N,N,"Electrical Cell, Voltmeter, Ohm's Law",,
A Devious Diode,https://isaacphysics.org/questions/a_devious_diode,,,N,Physics,3,Circuits,General Circuits,,,2,N,N,Y,N,Y,Y,Y,"Diodes, Kirchhoff's Laws, Ohm's Law",,
Basic Battery Charger,https://isaacphysics.org/questions/basic_battery_charger,,,N,Physics,3,Circuits,General Circuits,,,3,N,Y,N,N,Y,N,N,"Alternating Current, Diodes, Ohm's Law, Transformer",,
Combining Logic Gates,https://isaacphysics.org/questions/combining_logic_gates,,,N,Physics,3,Circuits,General Circuits,,,2,N,Y,N,N,Y,N,Y,,,
Cool Coulometers,https://isaacphysics.org/questions/coulometer,,,N,Physics,3,Circuits,General Circuits,,,1,N,N,Y,N,Y,Y,Y,"Electric Current, Kirchhoff's Current Law",,
Drift Velocity,https://isaacphysics.org/questions/drift_velocity,,,N,Physics,3,Circuits,General Circuits,,,1,N,N,Y,N,Y,N,Y,"Power, Resistivity, Microscopic view of current",,
Exponential I-V,https://isaacphysics.org/questions/exponential_i_v,,,N,Physics,3,Circuits,General Circuits,,,2,N,N,Y,N,Y,N,Y,"Electrical Cell, Kirchhoff's Laws, Ohm's Law",,
Heating a Wire,https://isaacphysics.org/questions/heating_a_wire,,,N,Physics,3,Circuits,General Circuits,,,1,N,N,Y,N,Y,Y,N,"Ohm's Law, Electric Power",,
Microscopic Current,https://isaacphysics.org/questions/microscopic_current,,,N,Physics,3,Circuits,General Circuits,,,5,N,N,Y,N,Y,N,N,Microscopic view of current,,
Non-linear I-V,https://isaacphysics.org/questions/non_linear_i_v,,,N,Physics,3,Circuits,General Circuits,,,1,N,N,Y,N,Y,Y,N,"Resistors, Ohm's Law",,
Resistance Loop,https://isaacphysics.org/questions/resistance_loop,,,N,Physics,3,Circuits,General Circuits,,,2,N,N,Y,N,Y,Y,Y,"Resistors, Ohm's Law, Resistivity",,
Cells in Reverse,https://isaacphysics.org/questions/cells_in_reverse,,,N,Physics,1,Circuits,Resistors,,,1,N,N,Y,N,Y,N,Y,"Electrical Cell, Ohm's Law, Electric Power",,
Current in Parallel Resistors,https://isaacphysics.org/questions/current_through_parallel_resistors,,,N,Physics,1,Circuits,Resistors,,,1,N,N,Y,N,Y,N,N,"Electrical Cell, Resistors, Kirchhoff's Laws, Ohm's Law",,
Electron Current,https://isaacphysics.org/questions/electron_current,,,N,Physics,1,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,Y,"Electric Current, Electrical Cell, Electrical Components, Ohm's Law",,
Fuse and Resistors in Series,https://isaacphysics.org/questions/fuse_and_resistors_in_series,,,N,Physics,1,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,Y,"Electrical Cell, Electrical Components, Ohm's Law",,
Power of a Light Bulb,https://isaacphysics.org/questions/power_of_a_light_bulb,,,N,Physics,1,Circuits,Resistors,,,2,N,N,Y,N,Y,N,Y,"Electrical Cell, Electrical Components, Kirchhoff's Laws, Power",,
Range of Related Resistors,https://isaacphysics.org/questions/range_of_related_resistors,,,N,Physics,1,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,N,"Resistors, Ohm's Law",,
Resistors in Parallel,https://isaacphysics.org/questions/resistors_in_parallel,,,N,Physics,1,Circuits,Resistors,,,4,N,Y,Y,N,Y,N,Y,"Resistors, Kirchhoff's Laws, Ohm's Law, Electric Power",,
Resistors in Parallel and Series,https://isaacphysics.org/questions/series_parallel_resistors,,,N,Physics,1,Circuits,Resistors,,,3,N,N,Y,N,Y,Y,Y,"Electrical Cell, Resistors, Kirchhoff's Laws, Ohm's Law",,
Series Resistors,https://isaacphysics.org/questions/series_resistors,,,N,Physics,1,Circuits,Resistors,,,2,N,N,Y,N,Y,N,Y,"Electrical Cell, Electrical Components, Kirchhoff's Laws, Power",,
Two cells and two resistors,https://isaacphysics.org/questions/two_cell_and_two_resistors,,,N,Physics,1,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,Y,"Electrical Cell, Electrical Components, Ohm's Law",,
Finding Internal Resistance,https://isaacphysics.org/questions/finding_the_internal_resistance,Y,,N,Physics,2,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,Y,"Electrical Cell, Kirchhoff's Laws, Ohm's Law",,
Finding Internal Resistance,https://isaacphysics.org/questions/finding_the_internal_resistance_sym,,,N,Physics,2,Circuits,Resistors,,,1,N,N,N,Y,Y,Y,Y,"Electrical Cell, Kirchhoff's Laws, Ohm's Law",,
Ammeter Sensitivity,https://isaacphysics.org/questions/ammeter_sensitivity,,,N,Physics,2,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,Y,"Ammeter, Ohm's Law",,
Bulbs and Power,https://isaacphysics.org/questions/bulbs_and_power,,,N,Physics,2,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,Y,"Resistors, Kirchhoff's Current Law, Ohm's Law, Electric Power",,
Current and Resistance,https://isaacphysics.org/questions/current_and_resistance,,,N,Physics,2,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,N,"Resistors, Kirchhoff's Laws, Ohm's Law",,
Current and Resistance,https://isaacphysics.org/questions/current_and_resistance_sym,,,N,Physics,2,Circuits,Resistors,,,1,N,N,N,Y,Y,Y,N,"Resistors, Kirchhoff's Laws, Ohm's Law",,
Equivalent Resistance,https://isaacphysics.org/questions/equivalent_resistance,,,N,Physics,2,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,N,"Resistors, Kirchhoff's Laws, Ohm's Law",,
Equivalent Resistors,https://isaacphysics.org/questions/equivalent_resistors,,,N,Physics,2,Circuits,Resistors,,,2,N,N,Y,N,Y,Y,N,"Resistors, Kirchhoff's Laws, Ohm's Law",,
Heating an Electric Fire,https://isaacphysics.org/questions/heating_an_electric_fire,,,N,Physics,2,Circuits,Resistors,,,4,N,Y,Y,N,Y,Y,N,"Resistors, Ohm's Law, Electric Power",,
Meter Measurements,https://isaacphysics.org/questions/meter_measurements,,,N,Physics,2,Circuits,Resistors,,,2,N,Y,N,N,Y,N,N,"Resistors, Kirchhoff's Laws, Ohm's Law",,
Odd Potential Difference,https://isaacphysics.org/questions/odd_potential_difference,,,N,Physics,2,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,Y,"Resistors, Kirchhoff's Laws, Ohm's Law",,
Power in Resistors,https://isaacphysics.org/questions/power_in_resistors,,,N,Physics,2,Circuits,Resistors,,,3,N,Y,Y,N,Y,Y,N,"Resistors, Ohm's Law, Electric Power",,
Power Limited Resistors,https://isaacphysics.org/questions/power_limited_resistors,,,N,Physics,2,Circuits,Resistors,,,2,N,Y,Y,N,Y,Y,N,"Kirchhoff's Laws, Ohm's Law, Electric Power, Resistors",,
Power Loss in Cables,https://isaacphysics.org/questions/power_loss_in_cables,,,N,Physics,2,Circuits,Resistors,,,2,N,N,Y,N,Y,Y,Y,"Ohm's Law, Electric Power",,
Rambunctious Resistors,https://isaacphysics.org/questions/rambunctious_resistors,,,N,Physics,2,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,Y,"Resistors, Kirchhoff's Laws, Ohm's Law",,
Resistors with Tolerance,https://isaacphysics.org/questions/resistors_with_tolerance,,,N,Physics,2,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,N,"Resistors, Kirchhoff's Laws, Ohm's Law",,
Work in Resistors,https://isaacphysics.org/questions/work_in_resistors,,,N,Physics,2,Circuits,Resistors,,,1,N,N,Y,N,Y,N,N,"Ohm's Law, Electric Power, Work",,
Work in Resistors,https://isaacphysics.org/questions/work_in_resistors_sym,,,N,Physics,2,Circuits,Resistors,,,1,N,N,N,Y,Y,N,N,"Ohm's Law, Electric Power, Work",,
A Power Problem,https://isaacphysics.org/questions/a_power_problem,,,N,Physics,3,Circuits,Resistors,,,1,N,N,Y,N,Y,N,Y,"Resistors, Kirchhoff's Laws, Ohm's Law, Electric Power",,
Batteries and Resistors in Parallel,https://isaacphysics.org/questions/batteries_and_resistors_in_parallel,,,N,Physics,3,Circuits,Resistors,,,2,N,N,Y,N,Y,Y,N,"Electrical Cell, Kirchhoff's Laws, Ohm's Law, Electric Power",,
Batteries in Parallel,https://isaacphysics.org/questions/batteries_in_parallel,,,N,Physics,3,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,Y,"Electrical Cell, Kirchhoff's Laws, Ohm's Law",,
Current between Resistors,https://isaacphysics.org/questions/current_between_resistors,,,N,Physics,3,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,Y,"Ammeter, Resistors, Kirchhoff's Laws, Ohm's Law",,
Current between Resistors,https://isaacphysics.org/questions/current_between_resistors_sym,,,N,Physics,3,Circuits,Resistors,,,1,N,N,N,Y,Y,Y,Y,"Ammeter, Resistors, Kirchhoff's Laws, Ohm's Law",,
Infinite Resistors,https://isaacphysics.org/questions/infinite_resistors,,,N,Physics,3,Circuits,Resistors,,,5,N,N,Y,N,Y,Y,N,"Resistors, Kirchhoff's Laws, Ohm's Law, Electric Power, Series",,
Measuring Resistances,https://isaacphysics.org/questions/measuring_resistances,,,N,Physics,3,Circuits,Resistors,,,1,N,N,Y,N,Y,N,Y,"Resistors, Kirchhoff's Laws, Ohm's Law",,
Pascal's Resistors,https://isaacphysics.org/questions/pascals_resistors,,,N,Physics,3,Circuits,Resistors,,,1,N,N,Y,N,Y,N,N,"Resistors, Kirchhoff's Laws, Ohm's Law",,
Point of No Return,https://isaacphysics.org/questions/point_of_no_return,,,N,Physics,3,Circuits,Resistors,,,1,N,Y,N,N,Y,Y,Y,"Kirchhoff's Laws, Ohm's Law",,
Point of No Return,https://isaacphysics.org/questions/point_of_no_return_sym,,,N,Physics,3,Circuits,Resistors,,,1,N,N,N,Y,Y,Y,Y,"Kirchhoff's Laws, Ohm's Law",,
Resistance and Power,https://isaacphysics.org/questions/resistance_and_power,,,N,Physics,3,Circuits,Resistors,,,4,N,N,Y,N,Y,Y,Y,"Electrical Cell, Resistors, Kirchhoff's Laws, Ohm's Law, Electric Power",,
Voltage Measurement,https://isaacphysics.org/questions/voltage_measurement,,,N,Physics,3,Circuits,Resistors,,,1,N,N,Y,N,Y,Y,N,"Kirchhoff's Voltage Law, Ohm's Law",,
Balancing Forces on an Electron,https://isaacphysics.org/questions/balancing_forces_on_electron,,,N,Physics,4,Fields,Combined Fields,,,5,Y,Y,Y,N,Y,Y,Y,"Conservation of Energy, Electric Field, Electric Potential, Fields, Force, Linear Kinetic Energy, Force on a moving charge in a B field, Magnetic Fields, Gravitational and Electric PE",,
Deflection of a Charged Particle,https://isaacphysics.org/questions/deflection_of_a_particle,,,N,Physics,4,Fields,Combined Fields,,,1,N,Y,N,N,Y,N,N,"Electric Field, Fields, Force, Force on a moving charge in a B field, Magnetic Fields",,
Where do the Charges Go?,https://isaacphysics.org/questions/direction_different_charges_E_B_field,,,N,Physics,4,Fields,Combined Fields,,,1,N,Y,N,N,Y,Y,Y,"Electric Field, Fields, Force, Force on a moving charge in a B field, Magnetic Fields",,
Forces in Helium,https://isaacphysics.org/questions/forces_in_helium,,,N,Physics,4,Fields,Combined Fields,,,1,N,N,Y,N,Y,N,N,"Electric Field, Fields, Force, Gravitational Field",,
Liquid Pool,https://isaacphysics.org/questions/Liquid_Pool,,,N,Physics,4,Fields,Combined Fields,,,1,N,Y,N,N,Y,Y,Y,"Electric Field, Fields, Force, Force on a moving charge in a B field, Magnetic Fields",,
Types of Field,https://isaacphysics.org/questions/nature_of_field,,,N,Physics,4,Fields,Combined Fields,,,1,N,Y,N,N,Y,N,N,"Electric Field, Fields, Gravitational Field, Magnetic Fields",,
Oil Drop Experiment,https://isaacphysics.org/questions/oil_drop_multiple_fields_num,,,N,Physics,4,Fields,Combined Fields,,,6,Y,Y,Y,N,Y,Y,Y,"Electric Field, Fields, Force, Gravitational Field, Newton's First Law",,
Semicircular Paths,https://isaacphysics.org/questions/semicircular_paths,,,N,Physics,4,Fields,Combined Fields,,,1,N,N,Y,N,Y,Y,Y,"Circular Dynamics, Electric Field, Electric Potential, Fields, Force, Linear Kinetic Energy, Force on a moving charge in a B field, Magnetic Fields, Potential Energy",,
Electric Levitation,https://isaacphysics.org/questions/sphere_in_a_field,,,N,Physics,4,Fields,Combined Fields,,,3,N,Y,Y,N,Y,Y,Y,"Electric Field, Equilibrium, Fields, Force, Gravitational Field, Lorentz Force, Magnetic Fields, Newton's First Law, Newton's Second Law",,
Vectors in Fields,https://isaacphysics.org/questions/vectors_in_fields,,,N,Physics,4,Fields,Combined Fields,,,4,N,N,Y,N,Y,Y,Y,"Electric Field, Fields, Force, Force on a moving charge in a B field, Magnetic Fields, Newton's First Law, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Charged Massive Shell,https://isaacphysics.org/questions/charged_massive_shell,,,N,Physics,5,Fields,Combined Fields,,,1,N,Y,N,N,Y,Y,Y,"Electric Field, Fields, Force, Gravitational Field",,
Charging a Falling Sphere,https://isaacphysics.org/questions/charging_falling_sphere,,,N,Physics,5,Fields,Combined Fields,,,1,N,N,Y,N,Y,Y,Y,"Electric Field, Electric Potential, Fields, Force, Gravitational Field, Newton's First Law",,
Fire up the Cyclotron!,https://isaacphysics.org/questions/cyclotron_dep,,,N,Physics,5,Fields,Combined Fields,,,1,N,Y,N,N,Y,Y,Y,"Circular Dynamics, Electric Field, Field Potential, Fields, Force on a moving charge in a B field, Magnetic Fields",,
Fields in a Triangle,https://isaacphysics.org/questions/fields_in_a_triangle_num,,,N,Physics,5,Fields,Combined Fields,,,4,N,Y,Y,N,Y,Y,Y,"Electric Field, Adding Scalar Fields, Adding Vector Fields, Force, Gravitational Field, Vectors - Describing and Adding Vectors, Electric Potential",,
Corkscrewing Particle,https://isaacphysics.org/questions/helical_path,,,N,Physics,5,Fields,Combined Fields,,,8,N,Y,Y,N,Y,Y,Y,"Circular Dynamics, Electric Field, Fields, Force, Force on a moving charge in a B field, Magnetic Fields, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Geometry and Inverse Square Laws,https://isaacphysics.org/questions/inverse_square_geometry,,,N,Physics,5,Fields,Combined Fields,,,3,N,N,Y,N,Y,Y,Y,"Electric Field, Fields, Flux and Gauss's Law, Gravitational Field, Inverse Square Laws in Physics",,
Geometry and Inverse Square Laws,https://isaacphysics.org/questions/inverse_square_geometry_sym,,,N,Physics,5,Fields,Combined Fields,,,3,N,N,N,Y,Y,Y,Y,"Electric Field, Fields, Flux and Gauss's Law, Gravitational Field, Inverse Square Laws in Physics",,
A Mass Spectrometer,https://isaacphysics.org/questions/mass_spectrometer,,,N,Physics,5,Fields,Combined Fields,,,3,N,N,Y,N,Y,Y,Y,"Circular Dynamics, Electric Field, Electric Potential, Fields, Force, Force on a moving charge in a B field, Magnetic Fields",,
The Moon seen by Earthshine,https://isaacphysics.org/questions/moon_earthshine,,,N,Physics,5,Fields,Combined Fields,,,2,N,N,Y,N,Y,Y,Y,"Fields, Inverse Square Laws in Physics",,
Charged Stars,https://isaacphysics.org/questions/protons_orbiting_a_star,,,N,Physics,5,Fields,Combined Fields,,,2,N,N,Y,N,Y,Y,N,"Circular Kinematics, Electric Field, Fields, Force, Gravitational Field, Gravitational and Electric PE",,
Thunder Cloud,https://isaacphysics.org/questions/thunder_cloud,,,N,Physics,5,Fields,Combined Fields,,,3,N,N,Y,N,Y,Y,N,"Electric Field, Field Potential, Fields, Force, Gravitational Field, Simple Harmonic Motion",,
Adding Fields,https://isaacphysics.org/questions/adding_fields_num,,,N,Physics,4,Fields,Electric Fields,,,5,Y,N,Y,N,Y,Y,Y,"Electric Field, Electric Potential, Adding Scalar Fields, Adding Vector Fields, Vectors - Describing and Adding Vectors",,
Field between Parallel Plates,https://isaacphysics.org/questions/basic_e_field_parallel_plates,,,N,Physics,4,Fields,Electric Fields,,,4,N,Y,Y,N,Y,N,Y,"Electric Field, Electric Potential, Fields, Force",,
Electric Field Strength,https://isaacphysics.org/questions/basic_electric_field_strength,,,N,Physics,4,Fields,Electric Fields,,,2,N,N,Y,N,Y,N,Y,"Electric Field, Fields",,
Charges in a Square,https://isaacphysics.org/questions/charges_in_a_square,,,N,Physics,4,Fields,Electric Fields,,,1,N,Y,N,N,Y,Y,Y,"Electric Field, Fields, Vectors - Describing and Adding Vectors",,
Properties of an Electric Field,https://isaacphysics.org/questions/e_field_properties,,,N,Physics,4,Fields,Electric Fields,,,1,N,Y,N,N,Y,N,N,"Electric Field, Electric Potential, Fields, Gravitational and Electric PE",,
Electric Potential,https://isaacphysics.org/questions/electric_potential,,,N,Physics,4,Fields,Electric Fields,,,1,N,Y,N,N,Y,N,N,"Electric Field, Electric Potential, Fields, Gravitational and Electric PE, Work",,
Gradient of Potential Energy,https://isaacphysics.org/questions/EPE_graph_gradient,,,N,Physics,4,Fields,Electric Fields,,,1,N,Y,N,N,Y,N,N,"Electric Field, Electric Potential, Fields, Force, Potential Energy",,
Force in a Uniform E Field,https://isaacphysics.org/questions/graph_uniform_field,,,N,Physics,4,Fields,Electric Fields,,,1,N,N,Y,N,Y,N,Y,"Electric Field, Fields, Force, Potential Energy",,
Identifying Ions,https://isaacphysics.org/questions/identifying_ions,,,N,Physics,4,Fields,Electric Fields,,,5,N,Y,Y,N,Y,Y,Y,"Electric Field, Equations of Motion, Fields, Force",,
Potential Difference,https://isaacphysics.org/questions/potential_work_done,,,N,Physics,4,Fields,Electric Fields,,,3,N,Y,Y,N,Y,N,Y,"Electric Field, Electric Potential, Fields, Work, Gravitational and Electric PE",,
